plot_id,species,value,rel_cover_stratum,stratum,stratum_cover,association
50,lonicera involucrata,20,66.67,shrub,30,Abies lasiocarpa - Picea engelmannii / Moss Forest
50,mesic shrub,20,66.665,tree,,Abies lasiocarpa - Picea engelmannii / Moss Forest
50,salix geyeriana,10,33.33,shrub,30,Abies lasiocarpa - Picea engelmannii / Moss Forest
50,aconitum columbianum,5,83.33,herbaceous,6,Abies lasiocarpa - Picea engelmannii / Moss Forest
50,mesic forb,3.5,58.335,tree,,Abies lasiocarpa - Picea engelmannii / Moss Forest
50,cardamine cordifolia,1,16.67,herbaceous,6,Abies lasiocarpa - Picea engelmannii / Moss Forest
51,juniperus scopulorum,60,95.24,tree,63,Juniperus scopulorum / Piptatheropsis micrantha Woodland
51,pseudotsuga menziesii var. glauca,3,4.76,tree,63,Juniperus scopulorum / Piptatheropsis micrantha Woodland
51,mesic graminoid,1.5,50,tree,,Juniperus scopulorum / Piptatheropsis micrantha Woodland
52,cornus sericea ssp. sericea,50,62.5,shrub,80,Cornus sericea Rocky Mountain Wet Shrubland
52,mesic shrub,27.5,34.37,tree,,Cornus sericea Rocky Mountain Wet Shrubland
52,betula occidentalis,5,23.26,tree,21.5,Cornus sericea Rocky Mountain Wet Shrubland
52,prunus virginiana var. melanocarpa,5,23.26,tree,21.5,Cornus sericea Rocky Mountain Wet Shrubland
52,alnus incana ssp. tenuifolia,2.5,3.12,shrub,80,Cornus sericea Rocky Mountain Wet Shrubland
52,pseudotsuga menziesii var. glauca,2.5,11.63,tree,21.5,Cornus sericea Rocky Mountain Wet Shrubland
